,State,Individuals_Affected,year
141,NC,2300,1997
1030,MA,2387,2002
212,OH,1000,2003
272,AZ,566,2004
521,NC,591,2004
780,TX,21000,2005
891,TX,44000,2005
816,NY,8000,2006
656,MA,4100,2007
97,KY,708,2008
188,PR,475000,2008
208,PA,1085,2008
223,OH,501,2008
322,FL,1562,2008
481,NC,1370,2008
565,TX,2875,2008
923,PR,8000,2008
964,IA,2042,2008
976,MN,27839,2008
977,MN,796,2008
978,MN,1699,2008
979,MN,715,2008
1,TX,1000,2009
2,MO,1000,2009
3,AK,501,2009
4,DC,3800,2009
5,CA,5257,2009
6,CA,857,2009
7,CA,6145,2009
8,CA,952,2009
9,CA,5166,2009
10,CA,5900,2009
11,PA,943,2009
12,TN,6400,2009
13,NY,83000,2009
14,CA,596,2009
15,NC,2000,2009
16,MI,10000,2009
17,MI,646,2009
18,CA,610,2009
19,MA,1860,2009
20,MA,1076,2009
21,DC,3400,2009
22,DC,15000,2009
23,CA,15500,2009
24,IL,2562,2009
25,MI,10000,2009
26,TX,3800,2009
27,TX,900,2009
29,IL,812,2009
31,CA,7300,2009
33,UT,5700,2009
34,NV,5103,2009
35,AZ,1100,2009
36,RI,528,2009
39,FL,8000,2009
40,TN,3900,2009
43,CA,3500,2009
44,CO,2500,2009
46,WY,9023,2009
64,NY,344579,2009
68,RI,12000,2009
74,TX,1430,2009
87,NE,800,2009
93,FL,1220000,2009
123,TX,27000,2009
127,IN,31700,2009
158,MN,1740,2009
186,TN,1023209,2009
204,TN,8200,2009
337,CA,1500,2009
427,CA,11081,2009
456,CA,703,2009
537,NY,568,2009
715,FL,14519,2009
819,MO,25461,2009
850,NY,10930,2009
851,NY,37000,2009
28,MO,9309,2010
30,TX,689,2010
32,IL,1300,2010
37,PR,1907,2010
38,PR,605,2010
41,CA,532,2010
42,NM,1900,2010
45,FL,12580,2010
47,WI,9500,2010
48,NC,554,2010
49,NY,625,2010
50,TX,21000,2010
51,FL,3800,2010
52,WA,5080,2010
53,FL,2600,2010
54,CT,957,2010
55,AL,2465,2010
56,TX,768,2010
57,AZ,2773,2010
58,PA,8000,2010
59,MI,83945,2010
60,IL,6800,2010
61,CA,5450,2010
62,NE,660,2010
63,TX,955,2010
65,WI,600,2010
66,CT,54165,2010
67,MA,3594,2010
69,SC,2850,2010
70,CA,22012,2010
71,KY,5148,2010
72,TN,1874,2010
73,MN,735,2010
75,VA,500,2010
76,IL,180111,2010
77,CO,649,2010
78,FL,568,2010
79,TX,4200,2010
80,DC,2416,2010
81,CA,40000,2010
82,CA,584,2010
83,DC,656,2010
84,NM,9600,2010
85,SC,653,2010
86,NY,2628,2010
88,NC,5220,2010
89,TX,4083,2010
90,IL,1000,2010
91,OH,60998,2010
92,KS,1105,2010
94,MN,16291,2010
95,NY,130495,2010
96,MI,2300,2010
98,TN,1745,2010
99,TN,10515,2010
100,OH,1001,2010
101,NY,1020,2010
102,TX,600,2010
103,GA,14000,2010
104,NV,7526,2010
105,MD,937,2010
106,AZ,5893,2010
107,CA,1000,2010
108,TN,1537,2010
109,CA,29000,2010
110,NY,800,2010
111,NY,2563,2010
112,FL,2047,2010
113,NM,3830,2010
114,CO,105470,2010
115,VA,669,2010
116,NC,13000,2010
117,IL,1097,2010
118,MA,800000,2010
119,NY,16820,2010
120,DC,540,2010
121,NY,23753,2010
122,OH,1200,2010
124,CT,6372,2010
125,TX,6873,2010
126,KY,2631,2010
128,NC,1590,2010
129,MI,1073,2010
130,TX,694,2010
131,TX,1646,2010
132,OH,1309,2010
133,PA,560,2010
134,OH,13867,2010
